epoch,train_loss,val_loss,lr
1,2.9384805097048026,4.080187234511742,0.00032
2,1.6774547575004548,3.5650697506391085,0.00048
3,1.150448478906753,3.4118570236059336,0.00064
4,0.9028660465046704,3.317537863437946,0.0008
5,0.760504423918952,3.274080470892099,0.0008
6,0.6237578315445151,3.1975269647744984,0.0007990256201039298
7,0.5214460296222413,3.120356987072871,0.0007961072274966282
8,0.460347698890118,3.067110721881573,0.0007912590402935223
9,0.4111752409443437,3.048192365352924,0.0007845046783753276
10,0.3750719407580763,3.045308780670166,0.0007758770483143634
11,0.3473935685309756,2.984055332037119,0.0007654181830570404
12,0.3095758797756704,2.946379098525414,0.0007531790371435709
13,0.3043496599383801,2.9659960710085356,0.0007392192384625704
14,0.28225404174026264,2.9613668441772463,0.000723606797749979
15,0.26402832962483525,2.919516849517822,0.0007064177772475912
16,0.250992155511422,2.9167042805598333,0.0006877359201354604
17,0.24020396869080476,2.8910358905792237,0.0006676522425435433
18,0.2254931390938531,2.8952569227952223,0.0006462645901302633
19,0.2194169345961149,2.88293737081381,0.0006236771613882988
20,0.2080779687549726,2.8810223781145536,0.0006000000000000001
21,0.19746302945383518,2.8700369156323946,0.000575348458715631
22,0.1897898427399981,2.8676796436309813,0.0005498426373663649
23,0.1845953855737747,2.8403114502246565,0.0005236067977499791
24,0.17485590602653436,2.832247488315289,0.000496768758239867
25,0.1682307909342991,2.8032933253508348,0.00046945927106677225
26,0.16414143280886798,2.8310883577053363,0.00044181138530706145
27,0.16052125457421954,2.802968907356262,0.0004139597986810005
28,0.14669088985904516,2.8167247790556686,0.00038604020131899976
29,0.14789606893501908,2.787197802617,0.0003581886146929387
30,0.14254071664406484,2.8004207656933713,0.0003305407289332279
31,0.1381583691044039,2.777156299811143,0.00030323124176013296
32,0.13757617536383085,2.777045756119948,0.0002763932022500211
33,0.12740562715200315,2.7666172137627236,0.0002501573626336352
34,0.12188128944842583,2.779303112396827,0.000224651541284369
35,0.11949713199410543,2.747362358753498,0.0002000000000000001
36,0.11638579061217755,2.7463372487288256,0.00017632283861170135
37,0.11297457126818924,2.723704254627228,0.00015373540986973668
38,0.1148336733175642,2.724777995623075,0.00013234775745645685
39,0.10797666962373542,2.7180200705161464,0.00011226407986453962
40,0.105128914629855,2.71247787292187,9.358222275240884e-05
41,0.10549046190462977,2.7209072809952954,7.639320225002106e-05
42,0.10180492208996024,2.7152236654208255,6.078076153742962e-05
43,0.09921770097235166,2.7082457955066976,4.6820962856429206e-05
44,0.10292767821644169,2.7166333134357745,3.458181694295961e-05
45,0.09751408536031664,2.702687416626857,2.4122951685636676e-05
46,0.09782476837475937,2.6977238609240604,1.5495321624672444e-05
47,0.09616909410240522,2.7043656275822565,8.740959706477726e-06
48,0.09574655888683767,2.704615454490368,3.892772503371855e-06
49,0.09504504655432179,2.709443714985481,9.74379896070321e-07
50,0.09491783099256426,2.6933212032684914,0.0
