trial,number,state,value,best_val_loss,crop_scale_min,random_erasing_prob,random_erasing_scale_max,color_jitter_strength,grayscale_prob,gaussian_blur_prob,solarization_prob,datetime_start,datetime_complete,run_dir
trial_0000,0,FAIL,,,0.5310890415965769,0.675357153204958,0.3829984854528513,0.4493292420985183,0.03900466011060913,0.32479561626896214,0.008712541825229918,2026-05-27 17:01:02.031366,2026-05-27 17:01:15.090456,F:\Room_8_Data\SIMCLR\experiments\3_AUGMENTATION_OPTUNA\trial_0000
trial_0001,1,COMPLETE,3.1531951097341686,3.1531951097341686,0.5310890415965769,0.675357153204958,0.3829984854528513,0.4493292420985183,0.03900466011060913,0.32479561626896214,0.008712541825229918,2026-05-27 17:03:02.622621,2026-05-27 22:28:17.807437,F:\Room_8_Data\SIMCLR\experiments\3_AUGMENTATION_OPTUNA\trial_0001
trial_0002,2,COMPLETE,2.9515784575388984,2.9515784575388984,0.7031616510212273,0.5005575058716043,0.3770181444490114,0.16029224714790122,0.24247746304049858,0.8659541126403374,0.03185086660174142,2026-05-27 22:28:17.932221,2026-05-28 02:49:36.321046,F:\Room_8_Data\SIMCLR\experiments\3_AUGMENTATION_OPTUNA\trial_0002
trial_0003,3,COMPLETE,3.033976879486671,3.033976879486671,0.4636387385224852,0.2917022549267169,0.27606056073988444,0.4123782158161189,0.10798625466052894,0.43298331215843355,0.09177793420835692,2026-05-28 02:49:36.495587,2026-05-28 06:55:08.517507,F:\Room_8_Data\SIMCLR\experiments\3_AUGMENTATION_OPTUNA\trial_0003
trial_0004,4,PRUNED,3.6432329526314366,3.6432329526314366,0.44882285122821464,0.34607232426760903,0.29159046082342294,0.378034992108518,0.1962939903482534,0.3597390257266878,0.07713516576204174,2026-05-28 06:55:08.695988,2026-05-28 08:00:03.035046,F:\Room_8_Data\SIMCLR\experiments\3_AUGMENTATION_OPTUNA\trial_0004
trial_0005,5,COMPLETE,2.9184800322239215,2.9184800322239215,0.6073450991017149,0.22322520635999887,0.3518862129753596,0.23526206184364576,0.01626289824631988,0.9591084298026666,0.1448448049611839,2026-05-28 08:00:03.452127,2026-05-28 12:20:52.644715,F:\Room_8_Data\SIMCLR\experiments\3_AUGMENTATION_OPTUNA\trial_0005
trial_0006,6,COMPLETE,2.8562533965477575,2.8562533965477575,0.6829390718407614,0.35230688458668535,0.22441802850159598,0.4921165132560784,0.11003812343490033,0.2976305878758231,0.07427653651669053,2026-05-28 12:20:52.789957,2026-05-28 16:22:48.782242,F:\Room_8_Data\SIMCLR\experiments\3_AUGMENTATION_OPTUNA\trial_0006
trial_0007,7,PRUNED,3.7889265665641196,3.7889265665641196,0.41203598239032646,0.6546602010393909,0.26469499540000424,0.481261142176991,0.07792776902235274,0.6160544169422486,0.08200654190149194,2026-05-28 16:22:48.922460,2026-05-28 17:30:42.056490,F:\Room_8_Data\SIMCLR\experiments\3_AUGMENTATION_OPTUNA\trial_0007
trial_0008,8,PRUNED,3.8025313432400045,3.8025313432400045,0.46469905943393447,0.6847923138822792,0.39378320584027865,0.6197494707820945,0.2237068376069122,0.6783199830488682,0.13828113525346752,2026-05-28 17:30:42.483468,2026-05-28 18:39:45.176267,F:\Room_8_Data\SIMCLR\experiments\3_AUGMENTATION_OPTUNA\trial_0008
trial_0009,9,PRUNED,3.5843964246603157,3.5843964246603157,0.4309723757181718,0.2979914312095726,0.21130682222763453,0.31266516538163214,0.0971693224223705,0.41707922541911674,0.12431062637278939,2026-05-28 18:39:45.645971,2026-05-28 19:54:58.580827,F:\Room_8_Data\SIMCLR\experiments\3_AUGMENTATION_OPTUNA\trial_0009
