rank,trial,best_val_loss,best_epoch,completed_epochs,final_train_loss,final_val_loss,crop_scale_min,random_erasing_prob,random_erasing_scale_max,color_jitter_strength,grayscale_prob,gaussian_blur_prob,solarization_prob
1,trial_0019,2.77376687343304,15,15,0.16558387272980107,2.77376687343304,0.7400678891689445,0.2012792283530576,0.2009689670978414,0.44287315713019293,0.07742519492917913,0.9144499586960764,0.12266982149356377
2,trial_0033,2.783912014961243,15,15,0.18179263570809745,2.783912014961243,0.7424224630239804,0.20185074599413957,0.32639400343598096,0.26634143803668603,0.16821876157168242,0.4616065211703595,0.001081966270590434
3,trial_0031,2.803761560183305,15,15,0.18036413212043356,2.803761560183305,0.7499218311989673,0.23367254179678665,0.3048898462644657,0.28118924588651883,0.16459598365593983,0.2002096898437707,0.00330065054446696
4,trial_0032,2.8091937945439267,15,15,0.18497898947610797,2.8091937945439267,0.7413706107310618,0.23171792003354713,0.3030072452123942,0.2742271810359628,0.168140286480308,0.4862083487227354,0.007989814950613607
5,trial_0020,2.8291640969423146,14,15,0.1793020758258394,2.844241903378413,0.7456256246066187,0.272903019354219,0.3076130207259027,0.3188622254879676,0.0780242380286119,0.916587035127982,0.1255004564984294
6,trial_0022,2.8348987478476304,15,15,0.18537708567789352,2.8348987478476304,0.7160885855228186,0.24489277976470653,0.2924604204843825,0.44127989536918716,0.0693227668289313,0.9232290941554502,0.0961498050148561
7,trial_0012,2.842947932390066,15,15,0.171265836819947,2.842947932390066,0.6372735133413779,0.21074471649979246,0.20171659918864523,0.5286594745277076,0.0019488703959113438,0.9398094367951333,0.11189595606389058
8,trial_0013,2.84971262216568,15,15,0.19094317909552758,2.84971262216568,0.6428046768236377,0.2063156629208805,0.20273498364162149,0.5338129988503957,0.05572305950229454,0.7606208341694342,0.11070546696647418
9,trial_0017,2.8525057389185977,14,15,0.20495331748963827,2.8525097333467926,0.6683732239846265,0.2611680509791423,0.25131580260548936,0.3627947321819144,0.14489151236651618,0.8357162912896711,0.12486390812536342
10,trial_0014,2.85491065795605,15,15,0.19702157676516777,2.85491065795605,0.6345796967725409,0.2094293383061654,0.20609753896636954,0.5548846816723593,0.05582441304018785,0.7728497957177012,0.10679667033201179
11,trial_0006,2.8562533965477575,15,15,0.20013043631714178,2.8562533965477575,0.6829390718407614,0.35230688458668535,0.22441802850159598,0.4921165132560784,0.11003812343490033,0.2976305878758231,0.07427653651669053
12,trial_0005,2.9184800322239215,14,15,0.20470444513744568,2.9207853647378776,0.6073450991017149,0.22322520635999887,0.3518862129753596,0.23526206184364576,0.01626289824631988,0.9591084298026666,0.1448448049611839
13,trial_0002,2.9515784575388984,15,15,0.23325845636278986,2.9515784575388984,0.7031616510212273,0.5005575058716043,0.3770181444490114,0.16029224714790122,0.24247746304049858,0.8659541126403374,0.03185086660174142
14,trial_0003,3.033976879486671,15,15,0.2878630932168182,3.033976879486671,0.4636387385224852,0.2917022549267169,0.27606056073988444,0.4123782158161189,0.10798625466052894,0.43298331215843355,0.09177793420835692
15,trial_0001,3.1531951097341686,14,15,0.3027102635557433,3.161854789807246,0.5310890415965769,0.675357153204958,0.3829984854528513,0.4493292420985183,0.03900466011060913,0.32479561626896214,0.008712541825229918
