run,status,lr,completed_epochs,best_epoch,best_val_loss,first_val_loss,final_train_loss,final_val_loss,wall_clock_hours,train_images,val_images,external_backbone
lr_1.5e-3,completed,0.0015,50,46,2.689743207968198,3.7806759375792285,0.08825734452496606,2.7041294162090006,14.927,186997,48089,F:\Room_8_Data\SIMCLR\experiments\2_LR_SWEEP\lr_1.5e-3\best_backbone.pt
lr_8e-4,completed,0.0008,50,50,2.6933212032684914,4.080187234511742,0.09491783099256426,2.6933212032684914,15.175,186997,48089,F:\Room_8_Data\SIMCLR\experiments\2_LR_SWEEP\lr_8e-4\best_backbone.pt
lr_5e-4,completed,0.0005,50,45,2.694359018252446,4.226422652831444,0.1043103473387154,2.7015892358926625,15.151,186997,48089,F:\Room_8_Data\SIMCLR\experiments\2_LR_SWEEP\lr_5e-4\best_backbone.pt
lr_3e-4,completed,0.0003,50,45,2.7341207595971913,4.415767728365385,0.12580161983243734,2.7387619412862336,16.319,186997,48089,F:\Room_8_Data\SIMCLR\experiments\2_LR_SWEEP\lr_3e-4\best_backbone.pt
