recording_date,case_no,Cart_Center_2,Cart_LT_4,Cart_RT_1,General_3,Injection_Port,Monitor,Patient_Monitor,Ventilator_Monitor,in_case_1
13/01/2025,1,,,,,,V,V,V,
13/01/2025,2,,,,,,V,V,V,
16/01/2025,1,,,,,,V,V,V,
16/01/2025,2,,,,,,V,V,V,V
19/01/2025,1,,,,,,V,V,V,
20/01/2025,1,,,,,,V,V,V,
26/01/2025,1,,,,,,,V,V,
27/01/2025,1,,,,,,,V,V,
06/02/2025,1,,,,,,V,V,V,
11/02/2025,1,,,,,,,,,
12/02/2025,1,,,,,,,,,
13/02/2025,1,,,,,,,,,
20/02/2025,1,,,,,,,,,
16/03/2025,1,,,,,,V,V,V,
20/03/2025,1,,,,,,,,,
02/04/2025,1,,,,,,V,V,V,
07/04/2025,1,V,V,V,V,,V,V,V,
14/04/2025,1,V,V,V,V,,,,,
14/04/2025,2,,,,,,,,,
14/04/2025,3,,,,,,,,,
15/04/2025,1,V,V,V,V,,,,,
16/04/2025,1,V,V,V,V,,,,,
20/04/2025,1,V,V,V,V,,,,,
08/05/2025,1,V,V,V,V,,V,V,V,
11/05/2025,1,V,V,V,V,,,,,
14/05/2025,1,V,V,V,V,,,,,
14/05/2025,2,,,,,,,,,
22/05/2025,1,V,V,V,V,,,,,
19/06/2025,1,,,,,,,,,
23/06/2025,1,,,,,,,,,
26/06/2025,1,V,V,,V,,,,,
26/06/2025,2,,,,,,,,,
06/07/2025,1,,,,,,,,,
20/07/2025,1,V,V,V,V,,V,V,V,
21/07/2025,1,V,V,V,V,,V,V,V,
21/07/2025,2,V,V,V,V,,V,V,V,V
21/07/2025,3,V,V,V,V,,V,V,V,V
22/07/2025,1,V,V,V,V,,V,V,V,
23/07/2025,1,V,V,V,V,,V,V,V,
23/07/2025,2,V,V,V,V,,V,V,V,V
27/07/2025,1,V,V,V,V,,V,V,V,
10/08/2025,1,V,V,V,V,,V,V,V,
20/08/2025,1,V,V,V,V,,,V,V,
31/08/2025,1,V,V,V,V,,V,V,V,
08/09/2025,1,,,,,,,,,
09/09/2025,1,V,V,V,V,,V,V,V,
15/09/2025,1,V,V,V,V,,V,V,V,
05/10/2025,1,V,V,V,V,,V,V,V,
12/10/2025,1,V,V,V,V,,V,V,V,
