epoch,train_loss,val_loss,lr
1,2.5380689594375183,3.7806759375792285,0.0006000000000000001
2,1.4228922053874726,3.4804251597477838,0.0009
3,1.0196207090321765,3.378864020567674,0.0012000000000000001
4,0.8410803473209479,3.3104144408152654,0.0015
5,0.7348949279918139,3.2227584508749154,0.0015
6,0.5949300458706708,3.144091901412377,0.0014981730376948683
7,0.48299174058247374,3.0916589205081646,0.0014927010515561779
8,0.42503867339921664,3.0342773987696723,0.0014836107005503543
9,0.3763003069091128,3.0160133801973785,0.0014709462719537391
10,0.35126909097114883,3.0281665746982283,0.0014547694655894314
11,0.3285105535352373,2.979752309505756,0.0014351590932319507
12,0.29624063396952544,2.9536481380462645,0.0014122106946441954
13,0.2962441177838352,2.9573449574984036,0.0013860360721173195
14,0.2737753683649211,2.950555201677176,0.0013567627457812105
15,0.2592687433310951,2.927907446714548,0.0013245333323392335
16,0.24628905548279978,2.9189826983671923,0.0012895048502539884
17,0.23472936196156233,2.9351615814062266,0.0012518479547691437
18,0.21968203146322315,2.9251246433991653,0.0012117461064942436
19,0.21717737767978967,2.8839537363785963,0.00116939467760306
20,0.2028834939047516,2.880680768306439,0.0011250000000000001
21,0.19219926895343686,2.859306887479929,0.001078778360091808
22,0.18343698580663992,2.8704842750842756,0.0010309549450619343
23,0.1821786501849315,2.8469667948209323,0.0009817627457812106
24,0.1674868940297826,2.8496728897094727,0.0009314414216997507
25,0.16490708108234453,2.8285637956399183,0.0008802361332501979
26,0.15965688706512945,2.829467761516571,0.0008283963474507402
27,0.15379043385030264,2.8343625985659084,0.0007761746225268759
28,0.14143354768504898,2.8398146134156446,0.0007238253774731245
29,0.14068910047649388,2.8034168509336617,0.0006716036525492601
30,0.13652853833222056,2.7960056249911966,0.0006197638667498023
31,0.13257846805411744,2.778326280300434,0.0005685585783002493
32,0.13105341358726244,2.77022419159229,0.0005182372542187895
33,0.12110727005063063,2.778587597150069,0.00046904505493806594
34,0.11635408693724182,2.777290054468008,0.00042122163990819186
35,0.11249754540028563,2.7320765293561493,0.00037500000000000017
36,0.11155398273877651,2.7525638699531556,0.00033060532239694
37,0.10728845287455743,2.7250932143284725,0.0002882538935057563
38,0.10820314913349917,2.733384152559134,0.00024815204523085657
39,0.10112388582670119,2.737018696161417,0.00021049514974601178
40,0.10092994535482856,2.719005361887125,0.0001754666676607666
41,0.09903239988651409,2.730685372535999,0.0001432372542187895
42,0.09515089437410057,2.721820686413692,0.00011396392788268054
43,0.09243118360386308,2.711078158708719,8.778930535580477e-05
44,0.09698397528187212,2.712477776637444,6.484090676804927e-05
45,0.09041826089332065,2.701292927448566,4.523053441056876e-05
46,0.09059753230739519,2.689743207968198,2.905372804626083e-05
47,0.08849079917700761,2.710329638994657,1.6389299449645732e-05
48,0.08841357756020182,2.7066042945935176,7.298948443822229e-06
49,0.08944620766057318,2.713341534137726,1.826962305131852e-06
50,0.08825734452496606,2.7041294162090006,0.0
