trial,state,best_val_loss,lr,temperature,projection_dim_encoded,color_jitter_strength,freeze_early_layers_encoded
trial_0074,COMPLETE,2.8193627119064333,0.0008431383991436538,0.06656606740912918,2.0,0.4711218462530183,1.0
trial_0085,COMPLETE,2.8237659674424394,0.0008825152516101935,0.0700468841882733,2.0,0.4705319553494649,1.0
trial_0073,COMPLETE,2.8244162761248077,0.0007193184213521194,0.06529752516785027,2.0,0.49744281908731797,1.0
trial_0075,COMPLETE,2.8250128030776978,0.0008920271196162208,0.06692020480209585,2.0,0.494163612899145,1.0
trial_0087,COMPLETE,2.8271786011182343,0.0009174689687782235,0.06958604936296876,2.0,0.49005384878554126,1.0
trial_0094,COMPLETE,2.8278121599784263,0.0007642422889554701,0.07581041928297934,2.0,0.4645355601272095,1.0
trial_0091,COMPLETE,2.8288831719985374,0.0009075961545806476,0.06943874994578102,2.0,0.5100679494976451,1.0
trial_0081,COMPLETE,2.8300028929343592,0.0008425846827099833,0.06412908692669231,2.0,0.4963801505760969,1.0
trial_0072,COMPLETE,2.8305333586839527,0.0008546587681883657,0.0667019407529659,2.0,0.48661542485903,1.0
trial_0028,COMPLETE,2.846853636778318,0.0009973057340261064,0.062180002113377424,0.0,0.6159862754125331,1.0
trial_0032,COMPLETE,2.847414939220135,0.0009826324740473881,0.06620727377429411,0.0,0.6067488997913045,1.0
trial_0062,COMPLETE,2.8487326842087968,0.0008276336326759722,0.07568024041512206,2.0,0.5806014688477401,1.0
trial_0071,COMPLETE,2.8522733660844657,0.000819376308535486,0.06398891200575905,2.0,0.4967848867162509,1.0
trial_0042,COMPLETE,2.8533795833587647,0.0005984547371070425,0.07412278505426205,2.0,0.5903597537120734,1.0
trial_0054,COMPLETE,2.854637424762432,0.0007509282868381319,0.08065054641104694,2.0,0.5788121462372027,1.0
trial_0043,COMPLETE,2.854729828467736,0.0005127994208321311,0.0739779386380427,2.0,0.5194169856938309,1.0
trial_0061,COMPLETE,2.856104298738333,0.0008133683213236401,0.06197529656323442,2.0,0.5507885378305092,1.0
trial_0038,COMPLETE,2.8563860416412354,0.0006719151798218305,0.062282173238738844,2.0,0.5423538641125228,1.0
trial_0041,COMPLETE,2.8645588324620173,0.000678592888808017,0.060181012986874914,2.0,0.5939112117287686,1.0
trial_0101,PRUNED,2.8656897086363573,0.0009976632941942239,0.07591017885026359,1.0,0.4755351094011532,1.0
trial_0031,COMPLETE,2.880375311924861,0.0007401949242663763,0.05888006386333432,0.0,0.6362148766913247,1.0
trial_0040,COMPLETE,2.8832585041339582,0.000940623341503266,0.0872880160074413,2.0,0.5597564662000347,1.0
trial_0023,COMPLETE,2.883774812404926,0.0008415086013220471,0.05086748217005391,0.0,0.4993119688234314,1.0
trial_0083,PRUNED,2.9022148224023674,0.0008343286005430852,0.0779211172688748,2.0,0.4545427402141307,1.0
trial_0020,COMPLETE,2.90609874358544,0.000773138426809055,0.050899577443372604,0.0,0.6819118732100573,1.0
trial_0021,COMPLETE,2.9126371475366444,0.0006536264082965735,0.052203667583198124,0.0,0.687958403800154,1.0
trial_0022,COMPLETE,2.9129068998190073,0.0008704777812615395,0.05069670898970885,0.0,0.6034294237221567,1.0
trial_0026,COMPLETE,2.9170344646160418,0.0004168043620362352,0.0661370593571099,0.0,0.5363319310968637,1.0
trial_0037,PRUNED,2.925105627683493,0.0004351613638011099,0.07917033559988507,0.0,0.6506404929898923,1.0
trial_0067,PRUNED,2.9398029098143943,0.0004026009290999269,0.08194403429801153,1.0,0.6113337370138369,1.0
trial_0024,COMPLETE,2.963051324624282,0.0003778118530834823,0.08612119062513653,0.0,0.47936575636618667,1.0
trial_0034,PRUNED,2.998991659971384,0.0009987195225961687,0.09093464390734429,0.0,0.5722668986275281,1.0
trial_0029,PRUNED,3.0805736468388485,0.0005185399960266263,0.10210948915938528,0.0,0.6219797973030075,1.0
trial_0095,PRUNED,3.085441596691425,0.0007561231443072902,0.07681534878223958,2.0,0.46602757828172015,1.0
trial_0092,PRUNED,3.1083373564940233,0.0006290701647678254,0.06940756790126355,2.0,0.5105695378048125,1.0
trial_0102,PRUNED,3.1171909900812,0.0008995582051398799,0.06107976909651554,2.0,0.4596271625633713,1.0
trial_0053,PRUNED,3.125818212215717,0.000622332914407202,0.06118912230355136,2.0,0.46945144768970193,1.0
trial_0051,PRUNED,3.129357675405649,0.000634974070292099,0.058116208037694156,2.0,0.5212879399939058,1.0
trial_0016,COMPLETE,3.1307578270251932,0.00012399967836846095,0.07772816832882906,0.0,0.6579309401710595,1.0
trial_0048,PRUNED,3.1347315091353196,0.0009992356080901017,0.0939070376160357,2.0,0.6221407578867164,1.0
trial_0089,PRUNED,3.1493583624179546,0.0008980395990964696,0.08497567287471043,2.0,0.4538903022928662,1.0
trial_0033,PRUNED,3.14937426677117,0.0005387945148490139,0.06532213168717738,0.0,0.6183509774407928,1.0
trial_0080,PRUNED,3.173696649991549,0.0008914659519521402,0.0507648571052238,2.0,0.42088017430248825,1.0
trial_0090,PRUNED,3.1972286462783814,0.0007335199660881731,0.050458734876410526,2.0,0.435262896972917,1.0
trial_0103,PRUNED,3.2093478441238403,0.0006839201001455251,0.05648839729459611,2.0,0.4404224801959983,1.0
trial_0082,PRUNED,3.2117868771919835,0.0007054814819189085,0.06597098268909375,2.0,0.49594514030448517,1.0
trial_0096,PRUNED,3.2129201907377976,0.0005188426017711241,0.06642163805644942,2.0,0.4797476003010373,1.0
trial_0099,PRUNED,3.215666860800523,0.0005917169493474445,0.0627133535615529,2.0,0.4488766047553518,1.0
trial_0078,PRUNED,3.2183778322660004,0.0009985174520074176,0.069223647217451,2.0,0.48520619284958166,0.0
trial_0088,PRUNED,3.22262025979849,0.0004696843351530406,0.07031657966670352,2.0,0.4881566109655457,1.0
trial_0084,PRUNED,3.2255833900891817,0.0005562571013295735,0.058816976076160835,2.0,0.5026618913032807,1.0
trial_0093,PRUNED,3.2259299755096436,0.0009044564585198754,0.05916217740514439,2.0,0.4887910846402251,1.0
trial_0065,PRUNED,3.228828288958623,0.0004884263446242762,0.07283144937441233,0.0,0.564924384980201,1.0
trial_0069,PRUNED,3.23234315101917,0.0007771635208420045,0.054656807169230104,2.0,0.648931861061328,1.0
trial_0063,PRUNED,3.2331342165286725,0.0008759060907976995,0.09830248032225693,2.0,0.5836303119256924,1.0
trial_0059,PRUNED,3.2333070461566633,0.0005753197114260698,0.05532149804132656,2.0,0.510509763113156,1.0
trial_0076,PRUNED,3.235231949732854,0.000902150941543462,0.06677830192605069,0.0,0.4710577326469937,1.0
trial_0077,PRUNED,3.2380543158604547,0.0007098603036648066,0.05440747386422402,2.0,0.4385578961709389,1.0
trial_0044,PRUNED,3.2471649408340455,0.0003149472617770203,0.0747477983518465,2.0,0.4487588515542448,1.0
trial_0064,PRUNED,3.257370116160466,0.0006978924104393663,0.10915691650353354,2.0,0.5970974100088301,1.0
trial_0079,PRUNED,3.2587845967366147,0.000634645857723274,0.05652186472369699,0.0,0.46290655846793677,1.0
trial_0086,PRUNED,3.285367749287532,0.0006833381016895864,0.06330342071378137,0.0,0.4773926394505811,1.0
trial_0055,PRUNED,3.2876891447947574,0.0008063195381719178,0.07938446885527912,2.0,0.5776009245545929,0.0
trial_0027,PRUNED,3.2991791596779456,0.00023496826834476444,0.09963692627102225,0.0,0.4361711614286452,1.0
trial_0025,PRUNED,3.3079201184786284,0.0003209584308143897,0.10451325952238325,0.0,0.48628224775224693,1.0
trial_0030,PRUNED,3.313771629333496,0.00022434730253050953,0.0686043594028194,1.0,0.5336795932015869,1.0
